"Public Posting Policy Acknowledgement"
""
"Federal Contract Information (FCI) may not appear on the company website, social media, blog, or any external public surface without prior review and approval by the company owner. All personnel are responsible for adhering to this policy. Quarterly reviews are conducted of all company-owned public surfaces."
""
Employee Name,Title,Date Acknowledged,Signature
Jane Doe,Project Manager,2026-04-01,
John Smith,Bookkeeper,2026-04-01,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
""
"Most recent quarterly review:"
Reviewer Name,Date,Surfaces Reviewed,Findings
Owner,2026-04-15,"Website, LinkedIn, X","No FCI present"
,,,
""
"Owner Signature:,,Date:,"
